"","Week","variable","value"
"135",135,"TV",36.9
"136",136,"TV",48.3
"137",137,"TV",25.6
"138",138,"TV",273.7
"139",139,"TV",43
"140",140,"TV",184.9
"141",141,"TV",73.4
"142",142,"TV",193.7
"143",143,"TV",220.5
"144",144,"TV",104.6
"145",145,"TV",96.2
"146",146,"TV",140.3
"147",147,"TV",240.1
"148",148,"TV",243.2
"149",149,"TV",38
"150",150,"TV",44.7
"151",151,"TV",280.7
"152",152,"TV",121
"153",153,"TV",197.6
"154",154,"TV",171.3
"155",155,"TV",187.8
"156",156,"TV",4.1
"157",157,"TV",93.9
"158",158,"TV",149.8
"159",159,"TV",11.7
"160",160,"TV",131.7
"161",161,"TV",172.5
"162",162,"TV",85.7
"163",163,"TV",188.4
"164",164,"TV",163.5
"165",165,"TV",117.2
"166",166,"TV",234.5
"167",167,"TV",17.9
"168",168,"TV",206.8
"169",169,"TV",215.4
"170",170,"TV",284.3
"171",171,"TV",50
"172",172,"TV",164.5
"173",173,"TV",19.6
"174",174,"TV",168.4
"175",175,"TV",222.4
"176",176,"TV",276.9
"177",177,"TV",248.4
"178",178,"TV",170.2
"179",179,"TV",276.7
"180",180,"TV",165.6
"181",181,"TV",156.6
"182",182,"TV",218.5
"183",183,"TV",56.2
"184",184,"TV",287.6
"185",185,"TV",253.8
"186",186,"TV",205
"187",187,"TV",139.5
"188",188,"TV",191.1
"189",189,"TV",286
"190",190,"TV",18.7
"191",191,"TV",39.5
"192",192,"TV",75.5
"193",193,"TV",17.2
"194",194,"TV",166.8
"195",195,"TV",149.7
"196",196,"TV",38.2
"197",197,"TV",94.2
"198",198,"TV",177
"199",199,"TV",283.6
"200",200,"TV",232.1
"201",1,"radio",37.8
"202",2,"radio",39.3
"203",3,"radio",45.9
"204",4,"radio",41.3
"205",5,"radio",10.8
"206",6,"radio",48.9
"207",7,"radio",32.8
"208",8,"radio",19.6
"209",9,"radio",2.1
"210",10,"radio",2.6
"211",11,"radio",5.8
"212",12,"radio",24
"213",13,"radio",35.1
"214",14,"radio",7.6
"215",15,"radio",32.9
"216",16,"radio",47.7
"217",17,"radio",36.6
"218",18,"radio",39.6
"219",19,"radio",20.5
"220",20,"radio",23.9
"221",21,"radio",27.7
"222",22,"radio",5.1
"223",23,"radio",15.9
"224",24,"radio",16.9
"225",25,"radio",12.6
"226",26,"radio",3.5
"227",27,"radio",29.3
"228",28,"radio",16.7
"229",29,"radio",27.1
"230",30,"radio",16
"231",31,"radio",28.3
"232",32,"radio",17.4
"233",33,"radio",1.5
"234",34,"radio",20
"235",35,"radio",1.4
"236",36,"radio",4.1
"237",37,"radio",43.8
"238",38,"radio",49.4
"239",39,"radio",26.7
"240",40,"radio",37.7
"241",41,"radio",22.3
"242",42,"radio",33.4
"243",43,"radio",27.7
"244",44,"radio",8.4
"245",45,"radio",25.7
"246",46,"radio",22.5
"247",47,"radio",9.9
"248",48,"radio",41.5
"249",49,"radio",15.8
"250",50,"radio",11.7
"251",51,"radio",3.1
"252",52,"radio",9.6
"253",53,"radio",41.7
"254",54,"radio",46.2
"255",55,"radio",28.8
"256",56,"radio",49.4
"257",57,"radio",28.1
"258",58,"radio",19.2
"259",59,"radio",49.6
"260",60,"radio",29.5
"261",61,"radio",2
"262",62,"radio",42.7
"263",63,"radio",15.5
"264",64,"radio",29.6
"265",65,"radio",42.8
"266",66,"radio",9.3
"267",67,"radio",24.6
"268",68,"radio",14.5
"269",69,"radio",27.5
"270",70,"radio",43.9
"271",71,"radio",30.6
"272",72,"radio",14.3
"273",73,"radio",33
"274",74,"radio",5.7
"275",75,"radio",24.6
"276",76,"radio",43.7
"277",77,"radio",1.6
"278",78,"radio",28.5
"279",79,"radio",29.9
"280",80,"radio",7.7
"281",81,"radio",26.7
"282",82,"radio",4.1
"283",83,"radio",20.3
"284",84,"radio",44.5
"285",85,"radio",43
"286",86,"radio",18.4
"287",87,"radio",27.5
"288",88,"radio",40.6
"289",89,"radio",25.5
"290",90,"radio",47.8
"291",91,"radio",4.9
"292",92,"radio",1.5
"293",93,"radio",33.5
"294",94,"radio",36.5
"295",95,"radio",14
"296",96,"radio",31.6
"297",97,"radio",3.5
"298",98,"radio",21
"299",99,"radio",42.3
"300",100,"radio",41.7
"301",101,"radio",4.3
"302",102,"radio",36.3
"303",103,"radio",10.1
"304",104,"radio",17.2
"305",105,"radio",34.3
"306",106,"radio",46.4
"307",107,"radio",11
"308",108,"radio",0.3
"309",109,"radio",0.4
"310",110,"radio",26.9
"311",111,"radio",8.2
"312",112,"radio",38
"313",113,"radio",15.4
"314",114,"radio",20.6
"315",115,"radio",46.8
"316",116,"radio",35
"317",117,"radio",14.3
"318",118,"radio",0.8
"319",119,"radio",36.9
"320",120,"radio",16
"321",121,"radio",26.8
"322",122,"radio",21.7
"323",123,"radio",2.4
"324",124,"radio",34.6
"325",125,"radio",32.3
"326",126,"radio",11.8
"327",127,"radio",38.9
"328",128,"radio",0
"329",129,"radio",49
"330",130,"radio",12
"331",131,"radio",39.6
"332",132,"radio",2.9
"333",133,"radio",27.2
"334",134,"radio",33.5
"335",135,"radio",38.6
"336",136,"radio",47
"337",137,"radio",39
"338",138,"radio",28.9
"339",139,"radio",25.9
"340",140,"radio",43.9
"341",141,"radio",17
"342",142,"radio",35.4
"343",143,"radio",33.2
"344",144,"radio",5.7
"345",145,"radio",14.8
"346",146,"radio",1.9
"347",147,"radio",7.3
"348",148,"radio",49
"349",149,"radio",40.3
"350",150,"radio",25.8
"351",151,"radio",13.9
"352",152,"radio",8.4
"353",153,"radio",23.3
"354",154,"radio",39.7
"355",155,"radio",21.1
"356",156,"radio",11.6
"357",157,"radio",43.5
"358",158,"radio",1.3
"359",159,"radio",36.9
"360",160,"radio",18.4
"361",161,"radio",18.1
"362",162,"radio",35.8
"363",163,"radio",18.1
"364",164,"radio",36.8
"365",165,"radio",14.7
"366",166,"radio",3.4
"367",167,"radio",37.6
"368",168,"radio",5.2
"369",169,"radio",23.6
"370",170,"radio",10.6
"371",171,"radio",11.6
"372",172,"radio",20.9
"373",173,"radio",20.1
"374",174,"radio",7.1
"375",175,"radio",3.4
"376",176,"radio",48.9
"377",177,"radio",30.2
"378",178,"radio",7.8
"379",179,"radio",2.3
"380",180,"radio",10
"381",181,"radio",2.6
"382",182,"radio",5.4
"383",183,"radio",5.7
"384",184,"radio",43
"385",185,"radio",21.3
"386",186,"radio",45.1
"387",187,"radio",2.1
"388",188,"radio",28.7
"389",189,"radio",13.9
"390",190,"radio",12.1
"391",191,"radio",41.1
"392",192,"radio",10.8
"393",193,"radio",4.1
"394",194,"radio",42
"395",195,"radio",35.6
"396",196,"radio",3.7
"397",197,"radio",4.9
"398",198,"radio",9.3
"399",199,"radio",42
"400",200,"radio",8.6
"401",1,"newspaper",69.2
"402",2,"newspaper",45.1
"403",3,"newspaper",69.3
"404",4,"newspaper",58.5
"405",5,"newspaper",58.4
"406",6,"newspaper",75
"407",7,"newspaper",23.5
"408",8,"newspaper",11.6
"409",9,"newspaper",1
"410",10,"newspaper",21.2
"411",11,"newspaper",24.2
"412",12,"newspaper",4
"413",13,"newspaper",65.9
"414",14,"newspaper",7.2
"415",15,"newspaper",46
"416",16,"newspaper",52.9
"417",17,"newspaper",114
"418",18,"newspaper",55.8
"419",19,"newspaper",18.3
"420",20,"newspaper",19.1
"421",21,"newspaper",53.4
"422",22,"newspaper",23.5
"423",23,"newspaper",49.6
"424",24,"newspaper",26.2
"425",25,"newspaper",18.3
"426",26,"newspaper",19.5
"427",27,"newspaper",12.6
"428",28,"newspaper",22.9
"429",29,"newspaper",22.9
"430",30,"newspaper",40.8
"431",31,"newspaper",43.2
"432",32,"newspaper",38.6
"433",33,"newspaper",30
"434",34,"newspaper",0.3
"435",35,"newspaper",7.4
"436",36,"newspaper",8.5
"437",37,"newspaper",5
"438",38,"newspaper",45.7
"439",39,"newspaper",35.1
"440",40,"newspaper",32
"441",41,"newspaper",31.6
"442",42,"newspaper",38.7
"443",43,"newspaper",1.8
"444",44,"newspaper",26.4
"445",45,"newspaper",43.3
"446",46,"newspaper",31.5
"447",47,"newspaper",35.7
"448",48,"newspaper",18.5
"449",49,"newspaper",49.9
"450",50,"newspaper",36.8
"451",51,"newspaper",34.6
"452",52,"newspaper",3.6
"453",53,"newspaper",39.6
"454",54,"newspaper",58.7
"455",55,"newspaper",15.9
"456",56,"newspaper",60
"457",57,"newspaper",41.4
"458",58,"newspaper",16.6
"459",59,"newspaper",37.7
"460",60,"newspaper",9.3
"461",61,"newspaper",21.4
"462",62,"newspaper",54.7
"463",63,"newspaper",27.3
"464",64,"newspaper",8.4
"465",65,"newspaper",28.9
"466",66,"newspaper",0.9
"467",67,"newspaper",2.2
"468",68,"newspaper",10.2
"469",69,"newspaper",11
"470",70,"newspaper",27.2
"471",71,"newspaper",38.7
"472",72,"newspaper",31.7
"473",73,"newspaper",19.3
"474",74,"newspaper",31.3
"475",75,"newspaper",13.1
"476",76,"newspaper",89.4
"477",77,"newspaper",20.7
"478",78,"newspaper",14.2
"479",79,"newspaper",9.4
"480",80,"newspaper",23.1
"481",81,"newspaper",22.3
"482",82,"newspaper",36.9
"483",83,"newspaper",32.5
"484",84,"newspaper",35.6
"485",85,"newspaper",33.8
"486",86,"newspaper",65.7
"487",87,"newspaper",16
"488",88,"newspaper",63.2
"489",89,"newspaper",73.4
"490",90,"newspaper",51.4
"491",91,"newspaper",9.3
"492",92,"newspaper",33
"493",93,"newspaper",59
"494",94,"newspaper",72.3
"495",95,"newspaper",10.9
"496",96,"newspaper",52.9
"497",97,"newspaper",5.9
"498",98,"newspaper",22
"499",99,"newspaper",51.2
"500",100,"newspaper",45.9
"501",101,"newspaper",49.8
"502",102,"newspaper",100.9
"503",103,"newspaper",21.4
"504",104,"newspaper",17.9
"505",105,"newspaper",5.3
"506",106,"newspaper",59
"507",107,"newspaper",29.7
"508",108,"newspaper",23.2
"509",109,"newspaper",25.6
"510",110,"newspaper",5.5
"511",111,"newspaper",56.5
"512",112,"newspaper",23.2
"513",113,"newspaper",2.4
"514",114,"newspaper",10.7
"515",115,"newspaper",34.5
"516",116,"newspaper",52.7
"517",117,"newspaper",25.6
"518",118,"newspaper",14.8
"519",119,"newspaper",79.2
"520",120,"newspaper",22.3
"521",121,"newspaper",46.2
"522",122,"newspaper",50.4
"523",123,"newspaper",15.6
"524",124,"newspaper",12.4
"525",125,"newspaper",74.2
"526",126,"newspaper",25.9
"527",127,"newspaper",50.6
"528",128,"newspaper",9.2
"529",129,"newspaper",3.2
"530",130,"newspaper",43.1
"531",131,"newspaper",8.7
"532",132,"newspaper",43
"533",133,"newspaper",2.1
"534",134,"newspaper",45.1
"535",135,"newspaper",65.6
"536",136,"newspaper",8.5
"537",137,"newspaper",9.3
"538",138,"newspaper",59.7
"539",139,"newspaper",20.5
"540",140,"newspaper",1.7
"541",141,"newspaper",12.9
"542",142,"newspaper",75.6
"543",143,"newspaper",37.9
"544",144,"newspaper",34.4
"545",145,"newspaper",38.9
"546",146,"newspaper",9
"547",147,"newspaper",8.7
"548",148,"newspaper",44.3
"549",149,"newspaper",11.9
"550",150,"newspaper",20.6
"551",151,"newspaper",37
"552",152,"newspaper",48.7
"553",153,"newspaper",14.2
"554",154,"newspaper",37.7
"555",155,"newspaper",9.5
"556",156,"newspaper",5.7
"557",157,"newspaper",50.5
"558",158,"newspaper",24.3
"559",159,"newspaper",45.2
"560",160,"newspaper",34.6
"561",161,"newspaper",30.7
"562",162,"newspaper",49.3
"563",163,"newspaper",25.6
"564",164,"newspaper",7.4
"565",165,"newspaper",5.4
"566",166,"newspaper",84.8
"567",167,"newspaper",21.6
"568",168,"newspaper",19.4
"569",169,"newspaper",57.6
"570",170,"newspaper",6.4
"571",171,"newspaper",18.4
"572",172,"newspaper",47.4
"573",173,"newspaper",17
"574",174,"newspaper",12.8
"575",175,"newspaper",13.1
"576",176,"newspaper",41.8
"577",177,"newspaper",20.3
"578",178,"newspaper",35.2
"579",179,"newspaper",23.7
"580",180,"newspaper",17.6
"581",181,"newspaper",8.3
"582",182,"newspaper",27.4
"583",183,"newspaper",29.7
"584",184,"newspaper",71.8
"585",185,"newspaper",30
"586",186,"newspaper",19.6
"587",187,"newspaper",26.6
"588",188,"newspaper",18.2
"589",189,"newspaper",3.7
"590",190,"newspaper",23.4
"591",191,"newspaper",5.8
"592",192,"newspaper",6
"593",193,"newspaper",31.6
"594",194,"newspaper",3.6
"595",195,"newspaper",6
"596",196,"newspaper",13.8
"597",197,"newspaper",8.1
"598",198,"newspaper",6.4
"599",199,"newspaper",66.2
"600",200,"newspaper",8.7
